Soiltype,SoilpH,Clay,Sand,Corg,Biochar Type,Biomass,Temp,K1,M1,K2,M2
-,,,,,Bubinga250,Bubinga,250,0.11,1.4,0.0014,17
-,,,,,Bubinga400,Bubinga,400,0.063,1.8,0.0021,8.9
-,,,,,Bubinga650,Bubinga,650,0.053,1.8,0.0048,4
-,,,,,Grass250,Grass,250,0.098,1.3,0.0018,9.2
-,,,,,Grass400,Grass,400,0.051,4.6,0.0029,17.4
-,,,,,Grass525,Grass,525,0.034,2.2,0.0003,6.1
-,,,,,Grass650,Grass,650,0.009,1,0.0009,19.7
-,,,,,Oak250,Oak,250,0.044,2.2,0.0028,17.9
-,,,,,Oak400,Oak,400,0.054,3.4,0.0037,14.3
-,,,,,Oak525,Oak,525,0.041,1.8,0.0033,6.2
-,,,,,Oak650,Oak,650,0.031,2.4,0.0003,43.4
-,,,,,Pine250,Pine,250,2.45,1.6,0.0099,17
-,,,,,Pine400,Pine,400,0.02,1.9,0.0009,20.2
-,,,,,Pine400,Pine,400,0.032,2.2,0.0006,18.3
-,,,,,Pine525,Pine,525,0.06,1.1,0.0016,7.5
-,,,,,Pine650,Pine,650,1.8,0.6,0.0028,10.5
-,,,,,SugCane250,SugCane,250,0.51,1,0.0052,8.5
-,,,,,SugCane400,SugCane,400,0.069,2.7,0.004,11
-,,,,,SugCane525,SugCane,525,0.12,0.7,0.004,9.1
-,,,,,SugCane650,SugCane,650,0.046,1.3,0.0027,4.8
SF2074,4.7,11.1,84.6,7.1,Bubinga650,Bubinga,650,0.071,0.3,0.0019,3.2
SF2074,4.7,11.1,84.6,7.1,Grass400,Grass,400,0.046,1.2,0.0034,3.2
SF2074,4.7,11.1,84.6,7.1,Grass525,Grass,525,0.033,1.5,0.0002,16.1
SF2074,4.7,11.1,84.6,7.1,Grass650,Grass,650,0.042,1.8,0.0002,10
SF2074,4.7,11.1,84.6,7.1,Oak250,Oak,250,0.018,1.7,0.0005,11.9
SF2074,4.7,11.1,84.6,7.1,Oak400,Oak,400,0.023,1.3,0.0004,9.1
SF2074,4.7,11.1,84.6,7.1,Oak525,Oak,525,0.021,1.5,0.0002,13.8
SF2074,4.7,11.1,84.6,7.1,Oak650,Oak,650,0.048,0.9,0.0031,1.8
SF2074,4.7,11.1,84.6,7.1,Pine650,Pine,650,0.069,2,0.0001,18.1
SF33,3.9,3.1,95.2,13.7,Bubinga250,Bubinga,250,0.019,1.1,0.0001,25.1
SF33,3.9,3.1,95.2,13.7,Bubinga400,Bubinga,400,0.034,0.3,0.0001,36.1
SF33,3.9,3.1,95.2,13.7,Bubinga525,Bubinga,525,0.004,0.6,0.0007,7
SF33,3.9,3.1,95.2,13.7,Bubinga650,Bubinga,650,0.0015,0.2,0.0015,4.9
SF33,3.9,3.1,95.2,13.7,Grass250,Grass,250,0.06,1.3,0.0021,2.2
SF33,3.9,3.1,95.2,13.7,Grass400,Grass,400,0.03,1.9,0.0003,9.4
SF33,3.9,3.1,95.2,13.7,Grass525,Grass,525,0.025,1.6,0.0001,20.6
SF33,3.9,3.1,95.2,13.7,Grass650,Grass,650,0.067,0.8,0.0063,0.8
SF33,3.9,3.1,95.2,13.7,Oak250,Oak,250,0.075,0.5,0.0047,1.7
SF33,3.9,3.1,95.2,13.7,Oak400,Oak,400,0.028,1.2,0.0002,8.3
SF33,3.9,3.1,95.2,13.7,Oak525,Oak,525,0.054,0.5,0.0027,2
SF33,3.9,3.1,95.2,13.7,Oak650,Oak,650,0.029,0.9,0.0004,2.3
SF33,3.9,3.1,95.2,13.7,Pine250,Pine,250,0.027,1,0.0009,5.1
SF33,3.9,3.1,95.2,13.7,Pine400,Pine,400,0.0035,0,0.0009,14
SF33,3.9,3.1,95.2,13.7,Pine525,Pine,525,0.0039,0,0.0001,88.4
SF33,3.9,3.1,95.2,13.7,Pine650,Pine,650,0.0023,0,0.0022,4.2
SF33,3.9,3.1,95.2,13.7,SugarCn400,SugCane,400,0.0083,0.1,0.0008,13.2
SF33,3.9,3.1,95.2,13.7,SugarCn525,SugCane,525,0.086,0.3,0,141.6
SF33,3.9,3.1,95.2,13.7,SugarCn650,SugCane,650,0.032,0.5,0.0002,5
SF1008,5.3,7.8,88.1,17.5,Bubinga650,SugCane,650,0.012,0.7,0.0001,14.9
SF1008,5.3,7.8,88.1,17.5,Grass400,Grass,400,0.045,1.1,0.003,2.8
SF1008,5.3,7.8,88.1,17.5,Grass525,Grass,525,0.042,1.2,0.0035,2.4
SF1008,5.3,7.8,88.1,17.5,Grass650,Grass,650,0.037,1.3,0.0001,14.5
SF1008,5.3,7.8,88.1,17.5,Oak250,Oak,250,0.037,1.2,0.0004,11.7
SF1008,5.3,7.8,88.1,17.5,Oak400,Oak,400,0.023,1.3,0.0002,7.8
SF1008,5.3,7.8,88.1,17.5,Oak525,Oak,525,0.023,1.2,0.0002,11.4
SF1008,5.3,7.8,88.1,17.5,Oak650,Oak,650,0.028,1.1,0.0001,9.8
SF1008,5.3,7.8,88.1,17.5,Pine650,Pine,650,0.039,0.3,0.0021,1.7
SF2049,5.1,2.2,94,20.4,Bubinga250,Bubinga,250,0.0095,2.3,0.0002,14.2
SF2049,5.1,2.2,94,20.4,Bubinga400,Bubinga,400,0.015,1.3,0.0002,16.2
SF2049,5.1,2.2,94,20.4,Bubinga525,Bubinga,525,0.017,1.1,0.0001,18.4
SF2049,5.1,2.2,94,20.4,Bubinga650,Bubinga,650,0.044,0.7,0.0031,1.8
SF2049,5.1,2.2,94,20.4,Grass250,Grass,250,0.062,1.7,0.0032,3.4
SF2049,5.1,2.2,94,20.4,Grass400,Grass,400,0.059,1.3,0.0013,9.7
SF2049,5.1,2.2,94,20.4,Grass525,Grass,525,0.027,2.1,0.0005,8.8
SF2049,5.1,2.2,94,20.4,Grass650,Grass,650,0.056,1.4,0.0033,2
SF2049,5.1,2.2,94,20.4,Oak250,Oak,250,0.015,2.1,0.0002,29.8
SF2049,5.1,2.2,94,20.4,Oak400,Oak,400,0.039,1.1,0.0027,3
SF2049,5.1,2.2,94,20.4,Oak525,Oak,525,0.041,0.8,0.0035,2.5
SF2049,5.1,2.2,94,20.4,Oak650,Oak,650,0.056,0.9,0.0044,2.1
SF2049,5.1,2.2,94,20.4,Pine250,Pine,250,0.043,1.2,0.0009,9.7
SF2049,5.1,2.2,94,20.4,Pine400,Pine,400,0.042,1,0.0009,4.7
SF2049,5.1,2.2,94,20.4,Pine525,Pine,525,0.012,1.4,0.0001,13.4
SF2049,5.1,2.2,94,20.4,Pine650,Pine,650,0.058,0.6,0.003,2.6
SF2049,5.1,2.2,94,20.4,SugarCn400,SugCane,400,0.025,1.6,0.0003,8.3
SF2049,5.1,2.2,94,20.4,SugarCn525,SugCane,525,0.07,0.8,0.0018,3.9
SF2049,5.1,2.2,94,20.4,SugarCn650,SugCane,650,0.053,0.9,0.0001,15.1
SF922,7.6,12.2,81.4,55,Bubinga250,Bubinga,250,0.053,2.2,0.0037,7
SF922,7.6,12.2,81.4,55,Bubinga400,Bubinga,400,0.04,1.5,0.0025,12
SF922,7.6,12.2,81.4,55,Bubinga525,Bubinga,525,0.052,1.3,0.0014,13.3
SF922,7.6,12.2,81.4,55,Bubinga650,Bubinga,650,0.12,0.9,0.0034,7.7
SF922,7.6,12.2,81.4,55,Grass250,Grass,250,0.064,2.1,0.0035,6.6
SF922,7.6,12.2,81.4,55,Grass400,Grass,400,0.038,2,0.0016,17.7
SF922,7.6,12.2,81.4,55,Grass525,Grass,525,0.051,1.6,0.0017,14.8
SF922,7.6,12.2,81.4,55,Grass650,Grass,650,0.37,0.7,0.0033,9.2
SF922,7.6,12.2,81.4,55,Oak250,Oak,250,0.041,2,0.0033,13.7
SF922,7.6,12.2,81.4,55,Oak400,Oak,400,0.041,1.3,0.003,8.5
SF922,7.6,12.2,81.4,55,Oak525,Oak,525,0.079,0.9,0.0033,9.2
SF922,7.6,12.2,81.4,55,Oak650,Oak,650,0.11,1.1,0.0032,8.8
SF922,7.6,12.2,81.4,55,Pine250,Pine,250,0.044,2.8,0.0032,13.5
SF922,7.6,12.2,81.4,55,Pine400,Pine,400,0.054,1.3,0.003,10.7
SF922,7.6,12.2,81.4,55,Pine525,Pine,525,0.047,1.4,0.002,11.1
SF922,7.6,12.2,81.4,55,Pine650,Pine,650,0.13,1,0.0047,5.6
SF922,7.6,12.2,81.4,55,SugarCn400,SugCane,400,0.041,2.1,0.0017,19.2
SF922,7.6,12.2,81.4,55,SugarCn525,SugCane,525,0.065,1.5,0.0013,17.9
SF922,7.6,12.2,81.4,55,SugarCn650,SugCane,650,0.064,1.3,0.0034,5.5
